Area Code,State,Area Code +1
660,Missouri,1660
816,Missouri,1816
975,Missouri,1975
406,Montana,1406
308,Nebraska,1308
402,Nebraska,1402
531,Nebraska,1531
702,Nevada,1702
725,Nevada,1725
775,Nevada,1775
603,New Hampshire,1603
201,New Jersey,1201
551,New Jersey,1551
609,New Jersey,1609
640,New Jersey,1640
732,New Jersey,1732
848,New Jersey,1848
856,New Jersey,1856
862,New Jersey,1862
908,New Jersey,1908
973,New Jersey,1973
505,New Mexico,1505
575,New Mexico,1575
212,New York,1212
315,New York,1315
332,New York,1332
347,New York,1347
516,New York,1516
518,New York,1518
607,New York,1607
631,New York,1631
646,New York,1646
680,New York,1680
716,New York,1716
718,New York,1718
845,New York,1845
914,New York,1914
917,New York,1917
929,New York,1929
934,New York,1934
252,North Carolina,1252
336,North Carolina,1336
472,North Carolina,1472
704,North Carolina,1704
743,North Carolina,1743
828,North Carolina,1828
910,North Carolina,1910
919,North Carolina,1919
980,North Carolina,1980
984,North Carolina,1984
701,North Dakota,1701
216,Ohio,1216
220,Ohio,1220
234,Ohio,1234
283,Ohio,1283
326,Ohio,1326
330,Ohio,1330
380,Ohio,1380
419,Ohio,1419
440,Ohio,1440
513,Ohio,1513
567,Ohio,1567
614,Ohio,1614
740,Ohio,1740
937,Ohio,1937
405,Oklahoma,1405
539,Oklahoma,1539
572,Oklahoma,1572
580,Oklahoma,1580
918,Oklahoma,1918
458,Oregon,1458
503,Oregon,1503
541,Oregon,1541
971,Oregon,1971
215,Pennsylvania,1215
223,Pennsylvania,1223
267,Pennsylvania,1267
272,Pennsylvania,1272
412,Pennsylvania,1412
445,Pennsylvania,1445
484,Pennsylvania,1484
570,Pennsylvania,1570
610,Pennsylvania,1610
717,Pennsylvania,1717
724,Pennsylvania,1724
814,Pennsylvania,1814
878,Pennsylvania,1878
401,Rhode Island,1401
803,South Carolina,1803
839,South Carolina,1839
843,South Carolina,1843
854,South Carolina,1854
864,South Carolina,1864
605,South Dakota,1605
423,Tennessee,1423
615,Tennessee,1615
629,Tennessee,1629
731,Tennessee,1731
865,Tennessee,1865
901,Tennessee,1901
931,Tennessee,1931
210,Texas,1210
214,Texas,1214
254,Texas,1254
281,Texas,1281
325,Texas,1325
346,Texas,1346
361,Texas,1361
409,Texas,1409
430,Texas,1430
432,Texas,1432
469,Texas,1469
512,Texas,1512
682,Texas,1682
713,Texas,1713
726,Texas,1726
737,Texas,1737
806,Texas,1806
817,Texas,1817
830,Texas,1830
832,Texas,1832
903,Texas,1903
915,Texas,1915
936,Texas,1936
940,Texas,1940
956,Texas,1956
972,Texas,1972
979,Texas,1979
385,Utah,1385
435,Utah,1435
801,Utah,1801
802,Vermont,1802
276,Virginia,1276
434,Virginia,1434
540,Virginia,1540
571,Virginia,1571
703,Virginia,1703
757,Virginia,1757
804,Virginia,1804
206,Washington,1206
253,Washington,1253
360,Washington,1360
425,Washington,1425
509,Washington,1509
564,Washington,1564
304,West Virginia,1304
681,West Virginia,1681
262,Wisconsin,1262
274,Wisconsin,1274
414,Wisconsin,1414
534,Wisconsin,1534
608,Wisconsin,1608
715,Wisconsin,1715
920,Wisconsin,1920
307,Wyoming,1307
800,Tell Free,1800
